Gene,d0_Old,d0_Y,d1_Old,d1_Y,d3_Old,d3_Y,d5_Old,d5_Y,d7_Old,d7_Y
ENSMUSG00000110243,-1.2984641281,-0.3696889453,1.615340367,-0.5700130044,-0.7885483415,-0.3271959633,-0.9342385662,1.0082977641,1.1782696927,2.057723229
ENSMUSG00000084771,1.6507204704,-0.5031901935,1.6140581616,0.0192477123,-0.9156411717,-0.7323296255,0.6791692775,-0.0357457514,-0.9156411717,0.2815812956
ENSMUSG00000108168,-0.5186443323,-0.5186443323,1.6091272873,-0.3856586061,-0.5186443323,-0.5186443323,-0.5186443323,-0.5186443323,2.1410701922,-0.4199958313
ENSMUSG00000075534,-0.2337091935,-0.8334938525,1.5863270099,-0.6473537862,0.0972064792,-0.5646248687,-0.8955405413,0.676308907,-0.8955405413,-0.4708290307
ENSMUSG00000085208,-1.5972321634,-0.8617271131,1.5636449262,-0.8420299932,-0.2677495175,0.1051826207,0.0202661479,0.1390324861,1.5540152231,0.9096060756
ENSMUSG00000108658,1.3737750737,-0.5854008146,1.5572273177,0.663485616,-1.1945563429,-1.2980422242,0.2871733205,-0.8370596622,-0.0515077454,0.3522670671
ENSMUSG00000089776,-0.875764337,-0.7736674584,1.544309824,-0.6526637503,-0.8001370195,-0.8051788406,1.1888614316,-0.5984641728,1.1964241634,-0.5183396231
ENSMUSG00000108197,0.9682335371,-0.5326755933,1.5421105575,-0.7975419104,-0.7975419104,0.0264866314,-0.7975419104,-0.7975419104,1.6303993299,-0.0128061505
ENSMUSG00000097842,-0.316227766,-0.316227766,-0.316227766,2.8460498942,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.4690187366
ENSMUSG00000109160,-0.3918012789,-0.3918012789,-0.3918012789,2.8138455469,-0.3918012789,0.0152649867,-0.3918012789,-0.3918012789,-0.3918012789,-0.5698412947
ENSMUSG00000111771,-0.3693107903,-0.3693107903,-0.3693107903,2.8084797305,-0.3693107903,-0.3693107903,0.1460065915,-0.3693107903,-0.3693107903,2.2309361082
ENSMUSG00000109501,-0.487476198,0.0281236268,-0.487476198,2.7467408851,-0.487476198,-0.487476198,0.1687417609,-0.487476198,-0.487476198,-0.3463697839
ENSMUSG00000107668,-0.4973793429,-0.2821671273,-0.4973793429,2.7308038913,-0.4973793429,-0.3060795948,-0.4973793429,-0.019129974,0.3634695195,-0.4493221204
ENSMUSG00000075010,-0.0988702466,-0.3855728805,0.0571297161,2.7196696183,-0.8662214139,-0.7144376665,-0.1325999682,-0.3771404502,-0.0820053857,-0.5558486245
ENSMUSG00000085649,-0.5069786034,0.2602021332,-0.5069786034,2.6960009717,-0.5069786034,-0.5069786034,-0.5069786034,0.2857748241,-0.5069786034,-0.316227766
ENSMUSG00000097779,-0.4563731108,-0.4563731108,-0.4563731108,2.6811920258,-0.4563731108,-0.4563731108,-0.4563731108,-0.0760621851,-0.4563731108,-0.6233396838
ENSMUSG00000086018,0.1624993334,-0.1429341963,-0.6288017683,2.651619557,-0.6288017683,-0.5940193022,-0.2831510123,-0.5766280693,-0.4070635475,-0.9037252167
ENSMUSG00000103706,-0.6386621411,-0.3446488792,0.4393864859,2.6444859503,-0.0506356173,-0.6386621411,-0.6386621411,-0.5733258613,0.145373224,0.1284466229
ENSMUSG00000099874,0.7740187924,-0.4258793357,0.0811198735,2.5654159986,-0.5779790985,-0.6793789403,-0.5779790985,-0.2061796781,-0.5272791776,0.3581686388
ENSMUSG00000085178,0.5798343257,0.3464189988,-0.6737752138,2.5065485288,-0.779147386,-0.609274672,-0.7235875134,-0.4585605348,-0.2906036785,0.0003056652
ENSMUSG00000110038,-0.5842601404,-0.4312743181,-0.1908680259,2.4973114232,0.9018878477,0.1442437751,-0.5842601404,-0.5842601404,-0.5842601404,-0.3879501414
ENSMUSG00000111229,-0.3390976535,-0.4913870188,-0.6436763841,2.4934845419,0.757385777,-0.582760638,-0.7045921303,0.3106703049,-0.7045921303,2.1921316136
