Family	Motif	Day	RNA_fc_young_over_aged	RNA_mean	HOMER_pval_young_over_aged
Homeobox	pax7	0	-0.03193429671278311	23.261521857504462	-0.0
Homeobox	pax7	1	2.176148529301241	10.36059506882058	120.0
Homeobox	pax7	3	-0.3015577153180871	2.8540524024831657	-0.0
Homeobox	pax7	5	2.165725853708596	3.081286043607243	-0.0
Homeobox	pax7	7	-1.4137298237840794	5.240555262394459	-0.0
Homeobox	pbx3	0	0.0005698077026595703	5.5066482487632165	70.0
Homeobox	pbx3	1	-0.2277208698053987	8.097450497033028	-0.0
Homeobox	pbx3	3	-0.3766226838173083	4.840825935994388	-0.0
Homeobox	pbx3	5	0.27199536195206864	5.0643155186739115	-10.0
Homeobox	pbx3	7	0.6123970692911671	5.052343733848766	-0.0
Nuclear.Receptor	rarg	0	0.5252639089626838	15.766798400457354	50.0
Nuclear.Receptor	rarg	1	0.08722388346883753	15.658018143926862	-0.0
Nuclear.Receptor	rarg	3	0.403801469581282	5.247300240999415	-0.0
Nuclear.Receptor	rarg	5	-1.3871452284811714	7.638053788902518	-0.0
Nuclear.Receptor	rarg	7	-0.7738978711559289	3.803614976339093	30.0
Runt	runx1	0	0.6959753324702164	80.37753782793109	180.0
Runt	runx1	1	1.1091477884934684	85.4942845472499	-0.0
Runt	runx1	3	0.40297488816115584	76.22063404236299	-0.0
Runt	runx1	5	1.409347214331293	43.46895560883176	-80.0
Runt	runx1	7	-0.6758420624599244	72.15021699272236	20.0
Runt	runx2	0	-0.6843310848275124	2.6154231409564574	230.0
Runt	runx2	1	-1.1087278949723787	5.33494205481556	-0.0
Runt	runx2	3	-0.25711416718747726	6.471254787030162	-0.0
Runt	runx2	5	0.054923791885169396	2.100703141362176	-0.0
Runt	runx2	7	-0.687082190630562	2.10380806142617	10.0
MAD	smad2	0	0.4050767720320164	52.990118701615984	-0.0
MAD	smad2	1	-0.233700277898326	62.683159958802	100.0
MAD	smad2	3	-0.06619911162746912	38.687490722714855	-0.0
MAD	smad2	5	1.2141920835933206	46.08273901593568	150.0
MAD	smad2	7	0.26827875044849314	50.34732509499816	-0.0
MAD	smad3	0	-0.02299674387154823	11.574444006790326	-0.0
MAD	smad3	1	-0.1987232190205999	6.901582200983677	-0.0
MAD	smad3	3	0.5326565732229386	6.704135948233991	-60.0
MAD	smad3	5	0.0636033098128492	6.244552690686573	-0.0
MAD	smad3	7	-0.8468816558696372	5.5955088924689385	270.0
Stat	stat3	0	0.8817293177850258	430.2692260183629	-0.0
Stat	stat3	1	1.8014684435119084	472.0766579710138	-0.0
Stat	stat3	3	0.1421116397778438	87.13742829677369	-0.0
Stat	stat3	5	0.15021834808079898	293.34993574013316	-90.0
Stat	stat3	7	-0.3142638086788593	284.57390208812654	20.0
HMG	tcf3	0	0.997150267684418	39.03403425821497	-280.0
HMG	tcf3	1	-0.6557340409024324	41.88282945592514	-0.0
HMG	tcf3	3	0.487560136978162	127.32831824839447	-0.0
HMG	tcf3	5	1.3376028020989392	78.28110385455405	-0.0
HMG	tcf3	7	-0.21322950351730294	52.82137421636687	-10.0
bZIP	xbp1	0	0.23833627405959174	419.017868817587	-0.0
bZIP	xbp1	1	0.7265446408598591	394.8040197464634	-0.0
bZIP	xbp1	3	0.36576575400924644	196.3677633749086	-0.0
bZIP	xbp1	5	-0.04954296103874941	360.438209809178	-0.0
bZIP	xbp1	7	-0.13425666060487237	358.84961341684067	-50.0
C2H2.ZF	zbtb18	0	0.6702564547547575	5.762558113650359	310.0
C2H2.ZF	zbtb18	1	-0.6318580725641206	2.52617945758339	20.0
C2H2.ZF	zbtb18	3	1.4046910691633496	29.42172528426263	-0.0
C2H2.ZF	zbtb18	5	4.3524930076298975	23.050353102392222	10.0
C2H2.ZF	zbtb18	7	-0.28444898145568076	9.088160491377584	10.0
