,d0_Old,d1_Old,d3_Old,d5_Old,d7_Old,d0_Y,d1_Y,d3_Y,d5_Y,d7_Y
ENSMUSG00000079774,-0.418204369484646,-0.462972009396992,-0.10483089009823,-0.462972009396992,-0.462972009396992,2.78268188424804,-0.362244819594215,-0.224211263347043,0.178697495864064,-0.462972009396992
ENSMUSG00000075015,-0.386886203756411,-0.399576859321603,-0.392635561525893,-0.357718730189899,-0.38264429954722,2.80840701967284,-0.38774510171528,-0.227026012097643,0.123194013049526,-0.397368264568422
ENSMUSG00000111389,-0.439161249450593,-0.439161249450593,-0.439161249450593,-0.439161249450593,-0.439161249450593,2.74097193622612,-0.439161249450593,-0.0353348111550535,0.36849162108309,-0.439161249450593
ENSMUSG00000095280,-0.408199728329569,-0.431560116386085,-0.410351343016194,-0.397441654878,-0.431560116386085,2.76612352941562,-0.419111488538541,-0.166911509553099,0.319968157373093,-0.42095572970114
ENSMUSG00000075014,-0.417507255060774,-0.433774660413671,-0.417886961082329,-0.371722702647865,-0.422233595805055,2.7718234824096,-0.416373133127173,-0.150294138382325,0.287726734503641,-0.429757770394049
ENSMUSG00000109574,-0.456832192649599,-0.456832192649599,-0.456832192649599,-0.456832192649599,-0.456832192649599,2.72467771987769,0.277362402549007,-0.456832192649599,0.19578522612049,-0.456832192649599
ENSMUSG00000107106,-0.419046331840874,-0.419046331840874,-0.419046331840874,-0.419046331840874,-0.419046331840874,2.79888625011561,0.0100113457533236,-0.419046331840874,0.038615191498347,-0.333234796322035
ENSMUSG00000103131,-0.167406353966622,-0.429949202523467,-0.353727085200512,-0.531578692287407,-0.641677306198342,2.74173779052616,-0.112357047011154,-0.641677306198342,0.160066446327391,-0.0234312434677068
ENSMUSG00000103378,-0.460602429097042,-0.460602429097042,-0.460602429097042,0.19740104104159,-0.460602429097042,2.77458129908457,-0.40576880658549,-0.168156443099876,-0.0950449449555763,-0.460602429097042
ENSMUSG00000109718,-0.35355339023972,-0.35355339023972,-0.35355339023972,-0.35355339023972,-0.35355339023972,2.82842712509974,-0.35355339023972,-3.1819805026249e-09,-0.35355339023972,-0.35355339023972
ENSMUSG00000075383,-0.339072351762338,-0.339072351762338,-0.339072351762338,-0.339072351762338,-0.339072351762338,2.83973094799633,-0.339072351762338,-0.127152133897629,-0.339072351762338,-0.339072351762338
ENSMUSG00000095457,-0.316227766016838,-0.316227766016838,-0.316227766016838,-0.316227766016838,-0.316227766016838,2.84604989415154,-0.316227766016838,-0.316227766016838,-0.316227766016838,-0.316227766016838
ENSMUSG00000078688,-0.316227766016838,-0.316227766016838,-0.316227766016838,-0.316227766016838,-0.316227766016838,2.84604989415154,-0.316227766016838,-0.316227766016838,-0.316227766016838,-0.316227766016838
ENSMUSG00000037578,-0.167031469780177,-0.344018456809182,-0.344018456809182,-0.344018456809182,-0.344018456809182,2.84174731767733,-0.310833396658281,-0.344018456809182,-0.299771710383781,-0.344018456809182
ENSMUSG00000008874,-0.378020819573917,-0.220651656420913,-0.378020819573917,-0.183820575682976,-0.378020819573917,2.83632804482786,-0.378020819573917,-0.346770205592133,-0.194981509262249,-0.378020819573917
ENSMUSG00000064367,-0.12686609912091,-0.469629697552023,0.0143835055856544,-0.469629697552023,-0.469629697552023,2.80526113586934,-0.195610256170697,-0.343769516874527,-0.274879979080767,-0.469629697552023
ENSMUSG00000035067,-0.583341035642732,0.919851091342931,-0.0367257167388544,0.0316011981241303,-0.651667950505717,1.98745913607707,1.00525973492166,-0.947751248359195,-1.00469034385059,-0.719994865368701
ENSMUSG00000024481,-0.798591496459592,0.556632063461629,-0.605525420371608,0.0676984942113998,-0.180529317869486,2.23969184991915,0.904527103120446,-0.86628999066347,-0.971598759425058,-0.346014525923409
ENSMUSG00000030428,-0.723435411775851,0.784126519377454,-0.737361332941131,-0.390022950307737,-0.439573320977117,2.17153689812007,0.944436542131328,-0.99450508661422,-0.613323476948531,-0.00187838006426713
ENSMUSG00000025481,-0.964806146535106,0.922248046993872,-0.0107564427435035,0.297906696718485,-0.964806146535106,2.09727249835485,0.161112805366013,-0.91336228991134,-0.922715718426653,0.297906696718485
ENSMUSG00000059898,-0.743975856668277,1.15063937533733,-0.389842168442931,0.19447841712889,-0.743975856668277,2.3015738620697,-0.026855138011951,-0.732171400512144,-0.637735750200673,-0.372135484031664
ENSMUSG00000096393,-0.647794008976635,1.1343723143618,-0.436747997002346,0.419160829337822,-0.647794008976635,2.3068501586634,-0.407436050894806,-0.647794008976635,-0.647794008976635,-0.42502321855933
ENSMUSG00000026389,-0.84655009266418,0.651418029540284,0.0731078541840804,0.495982883594744,-1.04922533198152,2.31777422651528,0.161111576520894,-0.508631037626805,-0.723497268786818,-0.571490839295958
ENSMUSG00000050108,-0.290444219239464,2.06571041654783,-0.601634454154768,-0.0903933539367695,-0.268216345316943,1.4211020727947,0.265252628823577,-0.898006106603243,-0.690545949844854,-0.912824689070071
ENSMUSG00000045294,-0.415060237160296,1.45515172973017,-0.982421884849358,0.469886599104535,0.0115339215446179,1.66501545569159,0.423858205220357,-1.18756474990173,-0.969761394221728,-0.470637645158159
ENSMUSG00000106121,-0.1642282282327,0.825098449140913,-1.19312797350855,0.46894084514395,-1.19312797350855,2.07165006313029,0.350221643811628,-0.876543436226627,-0.1642282282327,-0.124655161517657
ENSMUSG00000024076,-0.947201866554204,1.1901728072346,-0.959262828034673,1.27632253209509,-0.900681015129539,1.58043106085262,0.261048024614192,-0.532534524219961,-0.545744148704313,-0.42255004215381
ENSMUSG00000039321,-0.508600102013369,1.71289559144052,-0.726298333717584,1.03111063417327,-1.087795636997,1.44894517952221,-0.608407438275811,-0.424789760419598,-0.290206348809078,-0.546853784903558
ENSMUSG00000034987,-0.882802955687129,1.20340385552892,-0.867463199874575,0.904278614192859,-0.246203083253527,1.24942312342677,-0.0851356456110326,-1.12823905144915,-1.14357880726171,0.99631714998857
ENSMUSG00000032652,-0.240547061604693,0.907999757587231,-1.25953979268457,1.13970226123698,-0.299095543684821,1.52836452542364,0.164309463614667,-1.42148240278726,-0.818557608318924,0.298846401217744
ENSMUSG00000062980,-0.759062485847294,0.607501480827043,-1.09894673086939,1.73089472812395,-0.171384503965478,1.36086840913776,-0.150858306360547,-1.07416735718786,-0.811579964400356,0.366734730542176
ENSMUSG00000032179,-0.801599258855841,1.10105668440912,-0.947545421991577,1.63864736788617,-0.674398474471484,1.07327335518833,-0.6161539047797,-0.848462705734289,-0.615484426967151,0.690666785316431
