GeneID	D0	D1	D3	D5	D7
ENSMUSG00000051316	1.2333506313803841	6.160240963855421	0.1854382484769672	0.5529869914640816	6.160240963855421
ENSMUSG00000051319	1.7502286353012906	0.7601963746223566	0.8163316425587076	1.0348039215661766	0.7601963746223566
ENSMUSG00000051329	0.1748239374328485	0.48906306963178997	1.5124634691438885	0.5331714227880997	0.48906306963178997
ENSMUSG00000051341	0.2783526070115642	0.9672619047619048	0.4999122345129016	0.5707974376010603	0.9672619047619048
ENSMUSG00000051346	0.6321684587768817	0.5148221343873517	2.899199116271748	0.892104082550471	0.5148221343873517
ENSMUSG00000051351	0.13650093884888562	1.083535844471446	0.4487823015430378	0.8030869971936391	1.083535844471446
ENSMUSG00000051359	0.6748954119551914	1.8570356785595201	1.8468935466892045	0.739146035163258	1.8570356785595201
ENSMUSG00000051373	0.5121905825460636	0.8256157635467981	2.1828268210274966	2.0127307447485676	0.8256157635467981
ENSMUSG00000051375	0.26344676180021953	0.9380952380952381	0.14854048963983052	0.2211434735760518	0.9380952380952381
ENSMUSG00000051378	0.02150537634408602	0.09479865771812081	14.736979166640626	0.5986166889759036	0.09479865771812081
ENSMUSG00000051379	0.3799019607843137	5.013198757763974	0.09558634847190146	0.5393439974115366	5.013198757763974
ENSMUSG00000051390	0.8861386138613861	0.994232987312572	1.6849347568256225	0.519449431481149	0.994232987312572
ENSMUSG00000051391	1.2558940554641012	1.7401654411764707	3.059806888599222	0.5162077505823864	1.7401654411764707
ENSMUSG00000051392	0.0466666667	0.0	0.0	0.0	0.0
ENSMUSG00000051397	0.0	19.365384615384617	0.007843137176470588	0.0166666667	19.365384615384617
ENSMUSG00000051403	0.5035910434980989	4.025964391691395	1.2321899736147757	0.4557697385793505	4.025964391691395
ENSMUSG00000051412	0.18267620642411325	0.31780275562001453	4.6266666667	6.18	0.31780275562001453
ENSMUSG00000051427	0.5482961824135281	3.338477366255144	0.7398969351830758	0.5810236104971404	3.338477366255144
ENSMUSG00000051435	4.537931034482759	0.5144927536231884	5.9508771929473685	1.1212480252725119	0.5144927536231884
ENSMUSG00000051439	0.01575916759268613	4.284654471544715	0.043077939613246574	3.4984408337419994	4.284654471544715
ENSMUSG00000051451	0.5991277258542056	2.643731778425656	4.348943985289257	0.7003432003410553	2.643731778425656
ENSMUSG00000051456	0.0	0.9399193548387096	172.47311827935482	2.701159678858162	0.9399193548387096
ENSMUSG00000051483	1.5935648005170513	1.371781743709772	1.1776304606493286	1.1897788102211897	1.371781743709772
ENSMUSG00000051495	0.6676082862429379	1.6700680272108845	1.2079646017699117	0.7062918340080322	1.6700680272108845
ENSMUSG00000051498	0.2409862758688067	2.6374999999999997	1.4598540145985401	0.47058823529411764	2.6374999999999997
ENSMUSG00000051504	0.0	0.34	1.5897435892307692	6.303030303636364	0.34
ENSMUSG00000051506	0.0	0.57	0.16877637126582276	2.974358974358974	0.57
ENSMUSG00000051510	0.46881788798601176	2.042312276519666	1.8218905472686566	0.37042702358126195	2.042312276519666
ENSMUSG00000051517	1.115609536680162	0.18970242756460454	62.0	0.5807696947737966	0.18970242756460454
ENSMUSG00000051527	0.5714285714285714	2.6896551724137936	0.5	1.3755068937712893	2.6896551724137936
ENSMUSG00000051550	1.1436950146627565	0.8311057108140947	5.294486215526316	1.439732482143183	0.8311057108140947
ENSMUSG00000051599	0.24940047971223026	1.3571428571428572	0.538812785479452	0.9680851063829788	1.3571428571428572
ENSMUSG00000051611	0.0	0.0	0.0133333333	0.0533333333	0.0
ENSMUSG00000051615	0.34691578877360363	1.1432823129251701	1.1467081389424572	1.2587660896671105	1.1432823129251701
ENSMUSG00000051627	0.7041340605454114	0.14182250153280196	8.693459416879431	2.2483194938790034	0.14182250153280196
ENSMUSG00000051671	1.3551290163805108	0.48998822143698467	1.7407589945786102	1.3112848266205652	0.48998822143698467
ENSMUSG00000051674	0.3089622641509434	1.651465798045603	1.2992907801382978	0.9676422293074473	1.651465798045603
ENSMUSG00000051675	0.5276977265321806	2.1182170542635657	3.1986863711001643	0.681316643488178	2.1182170542635657
ENSMUSG00000051695	0.8360712794097174	0.9711447560661186	3.7792070784420626	1.0621250433836085	0.9711447560661186
ENSMUSG00000051721	0.22144792878048783	2.053571428571429	1.9238095238095236	0.514087559609883	2.053571428571429
ENSMUSG00000051726	0.0	0.041666666666666664	1.88	0.8104575164705883	0.041666666666666664
ENSMUSG00000051727	1.5735422106527415	1.3	0.5789473684210527	24.833333335	1.3
ENSMUSG00000051736	1.808168460020826	0.7691339375629406	2.950651769078212	1.8459181440183847	0.7691339375629406
ENSMUSG00000051747	0.017299969119555145	0.8314669652855543	99.2666666666	1.6513453195922665	0.8314669652855543
ENSMUSG00000051748	0.0	3.205	0.0	0.0	3.205
ENSMUSG00000051768	0.635810487454707	0.4014943318447269	2.91129347401231	1.5025778065705726	0.4014943318447269
ENSMUSG00000051786	0.8783278327920792	0.4021739130434782	2.671043034266958	0.6547619047580646	0.4021739130434782
ENSMUSG00000051817	0.7058823529411764	0.6497005988023952	13.666666666666666	0.4478844169040248	0.6497005988023952
ENSMUSG00000051851	1.2025863254923648	3.0897001934235977	0.12442054515112183	1.1124085318402617	3.0897001934235977
ENSMUSG00000051853	0.6472222222222223	1.339156626506024	0.7888376728541174	0.49423480083922955	1.339156626506024
ENSMUSG00000051855	0.2224578767532697	0.5608086675521896	33.98663412366457	1.6917931475804757	0.5608086675521896
ENSMUSG00000051860	0.0	0.0	0.03	0.0166666667	0.0
ENSMUSG00000051864	0.3580772261560284	0.937450357426529	1.001113172541744	0.9296510967132628	0.937450357426529
ENSMUSG00000051879	0.0	1.235	0.0	0.0	1.235
ENSMUSG00000051920	0.0	0.005	0.0	0.0935808197911833	0.005
ENSMUSG00000051934	0.4160468785260311	0.6532782782782782	4.519774011299435	0.9450565276863253	0.6532782782782782
ENSMUSG00000051984	0.6624737944654089	4.38125	2.166666666666667	0.1675	4.38125
ENSMUSG00000051985	0.0	0.2175	0.0666666665	0.0	0.2175
ENSMUSG00000052031	0.3074636946950355	1.1557659208261617	2.668086616975506	0.62272612748904	1.1557659208261617
ENSMUSG00000052040	1.4295753588516746	1.603156078749746	1.4810413129626487	0.445141065830721	1.603156078749746
ENSMUSG00000052062	0.5576381933495493	2.5600929614873835	0.5493395493473193	0.5517730496453901	2.5600929614873835
ENSMUSG00000052087	0.0	0.3649732620320855	1.5627627627747749	2.6786427146107785	0.3649732620320855
ENSMUSG00000052099	0.0	0.0	0.14	0.0	0.0
ENSMUSG00000052102	0.10579510402441425	0.5224538031800602	0.841541978388404	2.371186711384763	0.5224538031800602
ENSMUSG00000052105	0.9132420090410959	1.3643617021276597	3.7878787878787876	0.7282780410900475	1.3643617021276597
ENSMUSG00000052125	0.7540983606557378	0.7220394736842105	2.1441441440540543	0.5162393162393163	0.7220394736842105
ENSMUSG00000052135	0.04807692307692308	0.7161458333333334	69.06666666599999	36.12121212181818	0.7161458333333334
ENSMUSG00000052151	0.6428902269569245	0.26137021178104386	4.16963877457476	1.2344178753430026	0.26137021178104386
ENSMUSG00000052155	0.12841171694210232	1.3966216216216216	0.9900513829649066	0.7974885492264938	1.3966216216216216
ENSMUSG00000052188	2.771111111133333	31.958333333333336	0.05112474435582823	0.7067395264480874	31.958333333333336
ENSMUSG00000052212	0.0	0.26	0.11505122141843971	0.1	0.26
ENSMUSG00000052229	0.22222222000000003	0.125	0.0	0.5512820511538461	0.125
ENSMUSG00000052241	0.04181184668989547	2.1463414634146343	11.259259260000002	0.5240847784393063	2.1463414634146343
ENSMUSG00000052296	0.2485393968072004	0.7848054807927577	1.9501445086705202	0.35171261487110633	0.7848054807927577
ENSMUSG00000052299	0.15262371174887893	0.6378854625550661	1.8891089108910892	0.546922462028777	0.6378854625550661
ENSMUSG00000052301	0.13008130097560977	14.2	0.14	8.88888889	14.2
ENSMUSG00000052305	0.010920489556873858	19.233729698375868	0.012759257470003633	2.2360106396196584	19.233729698375868
ENSMUSG00000052310	0.7889771261820404	0.8882681564245811	0.891076115492126	1.8432908912830557	0.8882681564245811
ENSMUSG00000052316	0.0	13.75	0.22329317267469878	0.047455226145907116	13.75
ENSMUSG00000052336	0.0	2.0416666666666665	1.6170212765957448	1.5633333333	2.0416666666666665
ENSMUSG00000052337	0.386661920019224	0.4069815924393107	2.829336145886183	1.3106824616726798	0.4069815924393107
ENSMUSG00000052364	0.5967365967832168	1.2152173913043478	1.36986301369863	0.28966986153354635	1.2152173913043478
ENSMUSG00000052374	0.038796807852670354	1.9417852522639067	8.729198184568835	1.826641172722058	1.9417852522639067
ENSMUSG00000052392	1.1347517727659575	1.2819148936170215	0.1433333333	0.5172413793103449	1.2819148936170215
ENSMUSG00000052397	0.7169599820647911	0.7593849351919785	0.9894472732639659	0.7601897569948687	0.7593849351919785
ENSMUSG00000052406	0.6081304751507812	0.5372607322059096	2.364761675104895	1.1820445379631774	0.5372607322059096
